11490 -> 1, Probabilidad: 1/1000
11260 -> 1, Probabilidad: 1/1000
11290 -> 2, Probabilidad: 2/1000
11360 -> 3, Probabilidad: 3/1000
11330 -> 3, Probabilidad: 3/1000
11280 -> 1, Probabilidad: 1/1000
11300 -> 1, Probabilidad: 1/1000
11340 -> 1, Probabilidad: 1/1000
11310 -> 1, Probabilidad: 1/1000
11420 -> 2, Probabilidad: 2/1000
11400 -> 1, Probabilidad: 1/1000
11450 -> 3, Probabilidad: 3/1000
11430 -> 1, Probabilidad: 1/1000
11500 -> 1, Probabilidad: 1/1000
11750 -> 1, Probabilidad: 1/1000
11710 -> 3, Probabilidad: 3/1000
11730 -> 1, Probabilidad: 1/1000
11870 -> 1, Probabilidad: 1/1000
11960 -> 1, Probabilidad: 1/1000
11890 -> 1, Probabilidad: 1/1000
11980 -> 1, Probabilidad: 1/1000
12270 -> 1, Probabilidad: 1/1000
12140 -> 1, Probabilidad: 1/1000
12400 -> 1, Probabilidad: 1/1000
12830 -> 1, Probabilidad: 1/1000
12840 -> 3, Probabilidad: 3/1000
12910 -> 3, Probabilidad: 3/1000
12740 -> 1, Probabilidad: 1/1000
12800 -> 1, Probabilidad: 1/1000
13050 -> 1, Probabilidad: 1/1000
13100 -> 2, Probabilidad: 2/1000
12920 -> 3, Probabilidad: 3/1000
12960 -> 2, Probabilidad: 2/1000
12770 -> 1, Probabilidad: 1/1000
12900 -> 1, Probabilidad: 1/1000
12970 -> 2, Probabilidad: 2/1000
13070 -> 1, Probabilidad: 1/1000
13090 -> 2, Probabilidad: 2/1000
13120 -> 3, Probabilidad: 3/1000
13300 -> 1, Probabilidad: 1/1000
13020 -> 2, Probabilidad: 2/1000
12990 -> 1, Probabilidad: 1/1000
13040 -> 2, Probabilidad: 2/1000
13130 -> 3, Probabilidad: 3/1000
13000 -> 1, Probabilidad: 1/1000
13110 -> 1, Probabilidad: 1/1000
13370 -> 1, Probabilidad: 1/1000
13640 -> 1, Probabilidad: 1/1000
13610 -> 1, Probabilidad: 1/1000
13710 -> 2, Probabilidad: 2/1000
13730 -> 4, Probabilidad: 4/1000
13680 -> 3, Probabilidad: 3/1000
13280 -> 1, Probabilidad: 1/1000
13200 -> 1, Probabilidad: 1/1000
